samples_available	date	env	fecha	month	h	sampling	sample_v	Anos_total	Ostr_total	anos_L	ostr_L	salinity	salinity_q	cond	temp	temp_q	pH	redox	od	chla	doy	doy_acc	doy_acc_mod	season	season_det	sampling_trip	coord
MON_66	both	17/4/13	z10_Playa	17/4/13	abr-13	40	6	5	0	0	0	0	10.1	5_hypersaline	124.4	23.5	warm	8.1	312	9.4	3.8	107	473	472	spring	spring	6	41.419234 N -0.188864 W
MON_67	both	17/4/13	9_Salineta	17/4/13	abr-13	15	6	5	0	0	0	0	24	6_highly-hypersaline	156.8	28	hot	8.1	188.6	9	23.8	107	473	472	spring	spring	6	41.484360 N -0.160008 W
MON_68	both	17/4/13	z13_Salobral	17/4/13	abr-13	40	6	5	0	10	0	2	2.9	4_marine	34.3	25.8	hot	9.3	170	8.2	4.1	107	473	472	spring	spring	6	41.500283 N -0.141735 W
MON_69	both	26/5/13	1_Guallar	26/5/13	may-13	0.5	7	NA	0	0	0	0	23	6_highly-hypersaline	197.6	26.5	hot	7.6	270	8.8	10	146	512	512	spring	spring	7	41.411798 N -0.227378 W
MON_7	both	13/11/12	z13_Salobral	13/11/12	nov-12	20	1	3	0	0	0	0	3.3	4_marine	31.7	5.9	freezing-cold	9	341	9.4	2.9	318	318	317	autumn	autumn	1	41.500283 N -0.141735 W
MON_70	both	26/5/13	2_Pinol	26/5/13	may-13	1	7	NA	0	0	0	0	8.4	5_hypersaline	103	25.1	hot	8.6	220	8.9	27.9	146	512	512	spring	spring	7	41.410267 N -0.256041 W
MON_71	both	26/5/13	4_Camaron	26/5/13	may-13	5	7	NA	0	0	0	0	9.8	5_hypersaline	117.3	22.5	warm	8.2	220	8.8	3.9	146	512	512	spring	spring	7	41.403479 N -0.284693 W
MON_72	both	27/5/13	6_Rollico	27/5/13	may-13	2	7	NA	0	0	0	0	5.8	5_hypersaline	77.6	21.5	warm	8.1	205	9.1	2.8	147	513	512	spring	spring	7	41.390249 N -0.295673 W
MON_73	both	27/5/13	5_Pez	27/5/13	may-13	2	7	NA	0	0	0	0	6	5_hypersaline	79.1	21.5	warm	8.1	200	9.1	6.7	147	513	512	spring	spring	7	41.378293 N -0.261327 W
MON_74	both	26/5/13	z10_Playa	26/5/13	may-13	40	7	NA	0	0	0	0	10.6	5_hypersaline	117.6	17.5	mild	8.7	225	9.2	14	146	512	512	spring	spring	7	41.419234 N -0.188864 W
